                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1457,                 3.2455,                 1.5316,                0.60777,                0.87114,                0.88781,                0.61484,                  1.384,                 1.3281,                 1.2497,                      0,                      0,                      0
                      2,                 1.1673,                 2.0364,                 1.3586,                0.58351,                0.88931,                0.88786,                0.61948,                 1.3893,                 1.3477,                 1.2512,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.75129,                 3.1284,                 1.0703,                0.56137,                0.83333,                 0.8738,                0.61319,                 1.4066,                 1.3816,                  1.255,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.1919,                 3.2583,                 1.6099,                0.54097,                0.83333,                0.83096,                0.59797,                 1.4393,                 1.3977,                 1.2709,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                  1.273,                 3.2336,                 1.6323,                0.56279,                0.82308,                0.82987,                0.59606,                 1.4522,                 1.4357,                 1.2778,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0904,                 3.4824,                 1.4615,                0.84109,                0.56667,                0.83092,                0.56532,                 1.4911,                 1.5032,                 1.3054,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2694,                 2.1333,                  1.646,                0.81742,                0.57234,                 0.8584,                0.56858,                 1.5006,                 1.5662,                 1.3168,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.94229,                  2.175,                 1.2195,                0.80824,                0.58333,                0.85497,                 0.5525,                 1.5174,                 1.6503,                 1.3329,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.4333,                 3.1357,                 1.7812,                0.77589,                0.58333,                0.76969,                0.52045,                 1.5331,                 1.7204,                 1.3492,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.0634,                 2.2844,                  1.369,                0.76104,                0.58333,                0.74408,                0.50944,                 1.5323,                 1.7478,                 1.3533,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0559,                 2.4438,                  1.495,                0.73461,                0.58333,                0.74283,                0.49689,                 1.5274,                 1.7766,                 1.3514,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.80998,                 1.9434,                 1.2458,                0.74169,                0.58333,                0.74283,                0.49928,                 1.5216,                 1.7996,                 1.3511,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                  1.037,                 2.7022,                 1.4001,                0.66801,                0.58333,                0.74276,                0.51573,                  1.531,                 1.8246,                 1.3576,             1.2584e-05,             1.2584e-05,             1.2584e-05
