                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3013,                 4.1647,                 1.5922,                0.61258,                0.89589,                0.88816,                0.62114,                 1.3973,                 1.3236,                 1.2463,                      0,                      0,                      0
                      2,                 1.5198,                 3.0794,                  1.899,                0.59624,                0.89236,                0.88781,                 0.6173,                 1.4135,                 1.3401,                 1.2563,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1698,                 2.7684,                 1.5185,                0.56697,                0.83333,                0.87414,                0.61273,                 1.4227,                 1.3638,                 1.2587,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.0219,                 2.2394,                 1.2549,                0.55705,                0.83333,                0.87437,                0.61103,                 1.4567,                 1.3843,                  1.274,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.89662,                 2.2182,                 1.1211,                0.56275,                0.83333,                0.87082,                0.61004,                  1.469,                 1.4128,                 1.2774,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.2874,                 2.3901,                 1.6919,                0.58337,                 0.8431,                0.88455,                0.60958,                  1.473,                 1.4646,                 1.2851,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2713,                 2.6962,                 1.3671,                0.67945,                   0.75,                0.87121,                0.59366,                 1.4883,                 1.4995,                 1.2963,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.95371,                 2.7228,                 1.3475,                0.83794,                0.56667,                0.88453,                0.57181,                 1.5072,                 1.5555,                  1.314,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1304,                 2.8102,                 1.5773,                0.82243,                0.57106,                0.88618,                0.57112,                 1.5114,                 1.6066,                 1.3168,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1043,                 2.6549,                  1.361,                 0.8102,                0.57864,                0.77986,                0.57148,                 1.5235,                 1.6688,                 1.3307,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0144,                 2.6395,                 1.3843,                0.80113,                0.58333,                0.74653,                0.52774,                 1.5529,                 1.7423,                 1.3531,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.1475,                 1.6345,                 1.2977,                0.79684,                0.58333,                0.74711,                0.52606,                 1.5612,                 1.7665,                 1.3648,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.82241,                 2.4056,                 1.1935,                0.77909,                0.58333,                0.74309,                0.55701,                 1.5415,                 1.7685,                  1.357,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.1772,                 3.4357,                 1.5493,                0.75447,                0.58333,                0.74329,                0.56528,                 1.5405,                 1.8029,                 1.3591,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.0793,                 2.6142,                 1.3191,                0.77285,                0.58333,                0.74322,                 0.5649,                  1.516,                 1.8336,                 1.3497,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.1213,                 1.9151,                 1.4377,                0.79603,                0.41667,                0.74385,                 0.5566,                 1.5073,                 1.8343,                 1.3469,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.0343,                 1.9382,                 1.4336,                0.93871,                0.37438,                0.66114,                0.50696,                 1.5137,                 1.8689,                 1.3526,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 0.8323,                 2.0208,                 1.1414,                0.93871,                0.37438,                0.66114,                0.50696,                 1.5137,                 1.8689,                 1.3526,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.0421,                 1.9912,                 1.4506,                0.93574,                0.37322,                0.61943,                0.47334,                 1.5487,                 1.9824,                 1.3575,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.98817,                 1.8471,                 1.3146,                0.93574,                0.37322,                0.61943,                0.47334,                 1.5487,                 1.9824,                 1.3575,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.96029,                 1.8131,                 1.4511,                0.93812,                0.37332,                0.60547,                0.45756,                 1.5868,                  2.083,                 1.4004,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.90299,                 2.0896,                 1.2589,                0.93812,                0.37332,                0.60547,                0.45756,                 1.5868,                  2.083,                 1.4004,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.94537,                  1.351,                 1.5415,                 0.9388,                0.37395,                0.58627,                 0.4502,                 1.5839,                 2.1192,                  1.395,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.2964,                 2.8456,                  1.676,                 0.9388,                0.37395,                0.58627,                 0.4502,                 1.5839,                 2.1192,                  1.395,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.2746,                 2.9164,                  1.728,                0.93712,                0.37325,                0.58501,                0.44942,                  1.654,                 2.1959,                 1.4557,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.95415,                 1.5079,                 1.3177,                0.93712,                0.37325,                0.58501,                0.44942,                  1.654,                 2.1959,                 1.4557,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.3859,                 1.9819,                 1.7007,                0.93842,                0.37439,                0.58514,                0.44958,                 1.7161,                 2.2412,                 1.5198,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                0.89889,                  1.971,                 1.2395,                0.93842,                0.37439,                0.58514,                0.44958,                 1.7161,                 2.2412,                 1.5198,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.86245,                 1.5599,                 1.4202,                0.93967,                0.37453,                0.57729,                0.43201,                 1.7836,                 2.2993,                 1.5878,             2.4084e-05,             2.4084e-05,             2.4084e-05
