                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2158,                 3.2487,                 1.5304,                0.61079,                0.90091,                0.88788,                0.62092,                 1.3992,                 1.3279,                 1.2479,                      0,                      0,                      0
                      2,                 1.1199,                 2.8854,                 1.3274,                0.60835,                0.89852,                0.88826,                0.62233,                 1.4231,                 1.3395,                 1.2567,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.2519,                    3.9,                 1.7128,                0.60409,                0.88446,                0.88828,                0.61701,                 1.4358,                 1.3613,                 1.2662,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.3225,                 3.3206,                 1.5257,                0.55068,                0.83934,                0.83176,                0.60107,                  1.461,                 1.3834,                 1.2769,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.4141,                 3.3653,                 1.6913,                0.59021,                0.83333,                0.83159,                0.58816,                 1.4688,                 1.4347,                 1.2861,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                  1.274,                 2.7668,                 1.6362,                0.85597,                 0.5715,                0.85917,                0.57936,                  1.493,                 1.4826,                 1.2995,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.5672,                 2.4129,                 1.8704,                0.84927,                0.57377,                0.88868,                0.57082,                 1.5032,                 1.5456,                 1.3135,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.97419,                  2.261,                 1.3941,                0.84328,                0.57912,                0.88867,                  0.566,                 1.5258,                 1.6105,                 1.3304,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.1513,                 2.8538,                 1.5276,                0.82425,                0.58333,                0.79299,                0.53386,                 1.5358,                 1.6594,                  1.341,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.0321,                 2.7263,                 1.3409,                0.79582,                0.58333,                0.77077,                0.52431,                 1.5544,                 1.7043,                 1.3518,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0261,                 2.4523,                 1.2243,                 0.7674,                0.58333,                0.74916,                0.52001,                 1.5619,                 1.7566,                 1.3625,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.99446,                 2.6186,                  1.334,                0.74626,                0.58333,                0.74717,                0.53608,                 1.5606,                 1.7874,                 1.3673,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                  0.953,                 2.2561,                  1.401,                0.70098,                0.58333,                0.74918,                0.53687,                 1.5626,                 1.8119,                 1.3786,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.71898,                 2.4857,                 1.2984,                0.68367,                0.58333,                0.74165,                0.52555,                 1.5516,                 1.8441,                 1.3726,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.89381,                 2.2438,                 1.4222,                0.94153,                0.37566,                0.74544,                0.52712,                 1.5406,                 1.8732,                 1.3684,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0666,                 2.5583,                 1.5465,                0.94126,                 0.3741,                0.63471,                0.48218,                 1.5303,                 1.9068,                 1.3673,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.93134,                 1.6152,                 1.3864,                0.94099,                0.37408,                0.63464,                0.49043,                 1.5497,                 1.9433,                 1.3863,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.0157,                  3.268,                 1.4849,                0.94099,                0.37408,                0.63464,                0.49043,                 1.5497,                 1.9433,                 1.3863,             1.6825e-05,             1.6825e-05,             1.6825e-05
