                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84144,                  3.999,                 1.3979,                0.61202,                0.85683,                0.88765,                 0.6271,                 1.3983,                  1.352,                 1.2609,                      0,                      0,                      0
                      2,                 1.0961,                 2.8859,                 1.4621,                0.58733,                0.88368,                0.88774,                0.61774,                 1.4008,                 1.3677,                 1.2556,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1022,                 2.8863,                 1.3387,                0.58489,                0.86871,                0.88752,                0.62561,                 1.4186,                 1.3737,                 1.2617,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  1.118,                 2.8867,                 1.4388,                0.53444,                0.83333,                 0.8719,                0.60849,                 1.4473,                  1.406,                 1.2726,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                0.90297,                 2.6029,                 1.3289,                 0.5806,                0.83333,                0.87194,                0.60845,                 1.4674,                 1.4473,                 1.2922,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0086,                 2.7439,                  1.326,                0.84068,                0.56667,                0.87211,                0.59408,                 1.4908,                 1.4922,                 1.3053,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1892,                 3.3972,                 1.5251,                0.84201,                 0.5782,                0.88773,                0.57429,                 1.5164,                 1.5622,                 1.3286,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.0158,                 2.5462,                 1.3005,                0.80861,                 0.5765,                0.88563,                 0.5557,                 1.5255,                 1.6322,                 1.3378,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.85302,                 2.1271,                 1.1874,                0.80614,                0.58333,                0.77202,                0.54241,                 1.5434,                 1.6775,                 1.3524,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.0998,                 2.7762,                 1.3774,                0.78513,                0.58333,                0.74404,                 0.5176,                 1.5361,                 1.7049,                  1.356,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0914,                 1.9007,                 1.3019,                0.75317,                0.58333,                0.74403,                0.52611,                 1.5345,                 1.7326,                 1.3559,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.5182,                 2.7595,                 1.8052,                0.71268,                0.58333,                0.74423,                0.52612,                 1.5324,                 1.7659,                 1.3578,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.96561,                  2.924,                 1.4799,                0.71863,                0.58333,                0.74408,                0.52497,                 1.5381,                 1.7984,                 1.3613,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2553,                 2.6805,                 1.5346,                0.74444,                0.58333,                0.74456,                0.52512,                 1.5388,                 1.8365,                 1.3626,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.94361,                 1.7383,                   1.24,                0.94226,                0.37484,                0.74448,                0.52591,                 1.5231,                 1.8643,                 1.3554,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.95835,                 2.2626,                 1.3955,                0.93908,                0.37361,                0.66129,                0.46787,                 1.5069,                  1.908,                 1.3525,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.85232,                 1.7022,                 1.1882,                0.93962,                0.37368,                0.66118,                0.46795,                 1.5106,                 1.9777,                 1.3605,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.2355,                 2.4934,                 1.5505,                0.93962,                0.37368,                0.66118,                0.46795,                 1.5106,                 1.9777,                 1.3605,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 0.9413,                 2.3208,                 1.3739,                0.93435,                0.37332,                0.61961,                0.44292,                 1.5149,                 2.0489,                 1.3645,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.93682,                 1.7693,                 1.2745,                0.93435,                0.37332,                0.61961,                0.44292,                 1.5149,                 2.0489,                 1.3645,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.78667,                  1.431,                 1.1337,                0.93305,                0.37342,                0.61127,                0.45014,                 1.5522,                 2.1303,                 1.3889,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.89759,                 1.7634,                 1.2753,                0.93305,                0.37342,                0.61127,                0.45014,                 1.5522,                 2.1303,                 1.3889,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.71641,                 1.6574,                 1.2212,                0.93294,                0.37361,                0.60598,                0.44725,                 1.5759,                 2.1938,                 1.4161,             2.0478e-05,             2.0478e-05,             2.0478e-05
