                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8591,                 6.3907,                 2.2327,                0.02193,                0.10909,                0.02565,                0.01338,                 1.6901,                 6.4979,                  2.771,                 0.0802,                 0.0022,                 0.0022
                      1,                  1.636,                 3.5098,                 2.0037,                0.10322,                 0.1689,                0.13681,                0.07647,                 1.8271,                  3.606,                 2.7628,               0.059203,               0.004203,               0.004203
                      2,                  1.527,                 2.9025,                 1.8273,                0.23657,                0.18371,                0.17931,                0.10497,                  1.878,                 3.0864,                 2.5487,               0.037902,              0.0059024,              0.0059024
                      3,                 1.4294,                 2.5844,                 1.7377,                0.44674,                 0.2361,                0.18571,                0.08985,                 2.1499,                 2.9306,                 2.7603,               0.016298,              0.0072982,              0.0072982
                      4,                 1.5107,                 2.5796,                 1.7923,                 0.5434,                0.15975,                0.19805,                0.09466,                 2.4153,                  2.991,                 2.9484,                0.00736,                0.00736,                0.00736
                      5,                 1.5512,                 2.6245,                 2.1609,                0.20081,                0.18033,                0.10985,                0.05718,                 2.3816,                 3.5892,                  3.195,                0.00736,                0.00736,                0.00736
                      6,                  1.588,                 2.4634,                 2.1785,                0.31235,                0.25359,                0.20373,                0.09726,                 1.9556,                 2.8366,                   2.86,                 0.0067,                 0.0067,                 0.0067
                      7,                 1.5818,                 2.3821,                 2.1637,                0.22409,                0.35114,                0.21663,                0.11119,                 1.9679,                 2.7374,                 2.8349,                0.00604,                0.00604,                0.00604
                      8,                 1.5678,                 2.3772,                 2.1066,                0.24546,                0.43476,                0.33511,                0.18644,                 1.8118,                 2.4272,                 2.6178,                0.00538,                0.00538,                0.00538
                      9,                 1.5794,                 2.3445,                 2.1512,                0.21542,                0.33426,                 0.2769,                0.16506,                 1.7053,                 2.3423,                 2.4514,                0.00472,                0.00472,                0.00472
                     10,                 1.5439,                 2.1576,                 2.1093,                0.25006,                0.47238,                0.29495,                0.17388,                 1.7039,                 2.2679,                  2.498,                0.00406,                0.00406,                0.00406
                     11,                  1.523,                 2.0837,                 2.0861,                  0.298,                0.46975,                0.34982,                0.20149,                 1.7279,                 2.2202,                 2.5275,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.4272,                 1.8655,                 1.9675,                0.25856,                0.52415,                0.33825,                0.16717,                 1.6916,                 2.1944,                 2.4577,                0.00274,                0.00274,                0.00274
                     13,                  1.417,                 1.8852,                 1.9696,                0.26963,                0.46116,                0.37553,                0.22466,                 1.5449,                 2.0774,                  2.252,                0.00208,                0.00208,                0.00208
                     14,                 1.3934,                 1.8132,                 1.9237,                 0.4701,                0.42252,                0.38922,                0.25579,                 1.5465,                 2.0714,                 2.2297,                0.00142,                0.00142,                0.00142
