                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8301,                 5.2865,                 2.1568,                0.01928,                0.08364,                0.02441,                0.01389,                 1.5982,                 6.1176,                 2.7116,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.5576,                 3.3848,                 1.9409,                0.16844,                0.15133,                0.10113,                0.04808,                 1.7392,                 4.1127,                 2.6245,               0.059322,              0.0043218,              0.0043218
                      2,                 1.5186,                 2.9051,                  1.812,                0.11514,                0.14455,                0.11398,                0.05644,                 1.7605,                 3.6314,                 2.5617,               0.038261,              0.0062614,              0.0062614
                      3,                 1.5099,                 2.7322,                 1.8001,                0.22169,                 0.1146,                0.13902,                0.06945,                 2.0478,                 3.6483,                  2.689,               0.017019,              0.0080189,              0.0080189
