                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8301,                 5.2865,                 2.1568,                0.02071,                0.09273,                0.02489,                0.01416,                 1.5982,                 6.1176,                 2.7116,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.5576,                 3.3848,                 1.9409,                0.16844,                0.15133,                0.10113,                0.04808,                 1.7392,                 4.1127,                 2.6245,               0.059322,              0.0043218,              0.0043218
                      2,                 1.5186,                 2.9051,                  1.812,                0.11514,                0.14455,                0.11398,                0.05644,                 1.7605,                 3.6314,                 2.5617,               0.038261,              0.0062614,              0.0062614
                      3,                 1.5099,                 2.7322,                 1.8001,                0.22169,                 0.1146,                0.13902,                0.06945,                 2.0478,                 3.6483,                  2.689,               0.017019,              0.0080189,              0.0080189
                      4,                 1.5014,                 2.5282,                  1.768,                0.18383,                0.34139,                0.22797,                0.12083,                 1.9141,                 3.0912,                 2.6093,               0.008416,               0.008416,               0.008416
                      5,                 1.5605,                 2.4879,                 1.8477,                0.16359,                0.27422,                0.19035,                0.08696,                 2.0647,                 2.9965,                 2.8007,               0.008416,               0.008416,               0.008416
                      6,                 1.5297,                 2.3833,                 1.8039,                0.32212,                0.24538,                0.18444,                0.09743,                 1.9618,                 3.0968,                 2.7432,                0.00802,                0.00802,                0.00802
                      7,                 1.5476,                 2.2408,                 1.8036,                0.18676,                0.32228,                0.18363,                0.09871,                 2.0156,                 3.0118,                   2.73,               0.007624,               0.007624,               0.007624
                      8,                 1.5994,                 2.3027,                 1.8422,                0.25845,                0.30065,                0.22401,                0.11981,                 1.9977,                 2.9184,                 2.7643,               0.007228,               0.007228,               0.007228
                      9,                 1.5318,                 2.2796,                 1.8124,                0.12893,                0.21229,                 0.1456,                0.07428,                 2.1309,                 3.0241,                 2.9339,               0.006832,               0.006832,               0.006832
                     10,                 1.4473,                 2.1742,                 1.7513,                0.28109,                0.32524,                0.29242,                0.16061,                  1.886,                 2.5798,                  2.724,               0.006436,               0.006436,               0.006436
                     11,                 1.4707,                 2.0832,                 1.7504,                 0.2656,                0.32914,                0.27364,                0.14799,                 1.9927,                 2.6558,                 2.8092,                0.00604,                0.00604,                0.00604
                     12,                 1.4547,                 2.0527,                 1.7444,                 0.3424,                0.38397,                0.31183,                0.17124,                 1.8946,                 2.3124,                 2.7721,               0.005644,               0.005644,               0.005644
                     13,                 1.4849,                  2.076,                 1.7656,                0.24086,                   0.49,                0.33132,                 0.1806,                 1.7675,                 2.3001,                 2.6245,               0.005248,               0.005248,               0.005248
                     14,                 1.3762,                 1.9255,                 1.6968,                0.36995,                0.47868,                 0.4011,                0.21801,                  1.701,                 2.1896,                 2.4679,               0.004852,               0.004852,               0.004852
                     15,                 1.5319,                 2.0364,                 2.0625,                0.52629,                0.37562,                 0.3866,                0.20275,                 1.7021,                 2.2096,                 2.5239,               0.004456,               0.004456,               0.004456
                     16,                 1.4338,                 1.9177,                 2.0447,                0.39333,                0.16665,                0.09192,                0.04453,                 2.0187,                 3.7487,                 2.8754,                0.00406,                0.00406,                0.00406
                     17,                 1.4161,                 1.8392,                 1.9897,                0.25257,                0.41668,                0.35431,                0.20553,                  1.562,                 2.2534,                 2.3002,               0.003664,               0.003664,               0.003664
                     18,                 1.3554,                 1.7498,                 1.9085,                0.45368,                0.43387,                0.37534,                0.22618,                 1.5044,                 2.1247,                 2.3003,               0.003268,               0.003268,               0.003268
                     19,                 1.3276,                 1.7071,                 1.8905,                0.33161,                0.48786,                0.41062,                0.24168,                  1.554,                 1.9513,                 2.3093,               0.002872,               0.002872,               0.002872
                     20,                 1.2962,                 1.6305,                  1.877,                0.34681,                0.41625,                0.38167,                0.20502,                 1.6476,                 2.1192,                 2.5179,               0.002476,               0.002476,               0.002476
                     21,                 1.3141,                 1.6266,                 1.8745,                0.28539,                0.47117,                0.37759,                0.23132,                 1.5046,                 1.9869,                 2.3123,                0.00208,                0.00208,                0.00208
                     22,                 1.2649,                 1.6139,                 1.8193,                0.28498,                0.47809,                0.39975,                0.24237,                 1.5558,                  2.055,                 2.2601,               0.001684,               0.001684,               0.001684
                     23,                 1.2113,                 1.4108,                 1.7335,                0.35425,                0.48093,                0.43114,                0.26155,                 1.5093,                 1.9412,                 2.2659,               0.001288,               0.001288,               0.001288
