                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92309,                 3.3188,                 1.2521,                 0.5995,                0.89288,                0.88806,                0.62409,                 1.3905,                 1.3261,                 1.2441,                      0,                      0,                      0
                      2,                0.68508,                 3.2358,                 1.2288,                 0.5937,                0.88471,                0.88771,                0.61684,                  1.395,                 1.3471,                 1.2496,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                0.81397,                 2.5995,                 1.1623,                0.60573,                0.87079,                0.88765,                0.62504,                 1.4339,                 1.3609,                  1.267,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.0138,                   2.98,                 1.4154,                 0.5577,                0.83333,                0.83086,                0.59613,                 1.4428,                  1.398,                 1.2691,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0807,                 3.0937,                 1.4096,                0.61105,                0.83333,                0.83077,                0.60614,                 1.4653,                 1.4557,                 1.2887,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.3883,                  3.684,                 1.7688,                0.54148,                 0.5979,                0.85862,                0.60667,                 1.4826,                 1.4946,                 1.3008,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                0.88167,                 1.9944,                 1.1666,                0.82767,                0.56667,                0.85805,                0.57281,                 1.4918,                 1.5488,                  1.314,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.74888,                 2.2909,                 1.1922,                0.81509,                0.57662,                0.85794,                0.57066,                 1.5103,                 1.6207,                 1.3294,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.92895,                 2.0447,                 1.1995,                0.81503,                0.58333,                0.80267,                0.54759,                 1.5231,                 1.6744,                 1.3371,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 0.7815,                 2.8987,                   1.28,                 0.8054,                0.58333,                0.77506,                0.54336,                 1.5253,                 1.7165,                 1.3457,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0337,                  2.754,                 1.4415,                0.78051,                0.58333,                0.74275,                 0.5341,                 1.5194,                 1.7355,                 1.3481,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.6428,                 3.7941,                    2.1,                 0.7702,                0.58333,                0.74139,                0.53232,                 1.5025,                 1.7584,                 1.3436,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.93917,                 2.7699,                 1.3494,                0.71029,                0.58333,                0.74134,                0.54875,                 1.5028,                  1.799,                 1.3419,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                0.83651,                  2.395,                 1.1616,                0.70571,                0.58333,                0.74126,                 0.5488,                 1.5029,                 1.8156,                 1.3395,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 1.0233,                 1.7021,                 1.4952,                0.71686,                0.58333,                 0.7413,                0.54883,                  1.516,                 1.8432,                   1.35,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.98703,                 2.5572,                  1.403,                0.94057,                0.37371,                0.74225,                0.56584,                 1.5183,                 1.8769,                 1.3518,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.0713,                 2.3761,                  1.415,                0.94062,                0.37646,                0.74206,                0.51603,                 1.5171,                 1.9209,                 1.3569,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1583,                 2.6046,                  1.396,                0.94062,                0.37646,                0.74206,                0.51603,                 1.5171,                 1.9209,                 1.3569,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.87779,                 2.1759,                  1.326,                0.94187,                 0.3783,                 0.6606,                0.47497,                 1.5244,                  1.969,                 1.3627,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.97919,                 1.8479,                 1.5824,                0.94187,                 0.3783,                 0.6606,                0.47497,                 1.5244,                  1.969,                 1.3627,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.89971,                 2.0898,                 1.3399,                 0.9421,                0.37861,                0.61045,                 0.4432,                 1.5543,                 2.0254,                 1.3726,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.2543,                 3.5364,                 1.6323,                 0.9421,                0.37861,                0.61045,                 0.4432,                 1.5543,                 2.0254,                 1.3726,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.86181,                 1.4488,                 1.2023,                0.94911,                0.38974,                0.61615,                0.44063,                 1.6048,                 2.1272,                 1.4063,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.76013,                 1.3825,                 1.2306,                0.94911,                0.38974,                0.61615,                0.44063,                 1.6048,                 2.1272,                 1.4063,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.89042,                  1.674,                 1.3279,                0.94959,                 0.3887,                0.59375,                0.44374,                 1.6493,                  2.201,                 1.4263,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.0417,                 1.6646,                 1.2326,                0.94959,                 0.3887,                0.59375,                0.44374,                 1.6493,                  2.201,                 1.4263,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.64928,                 1.0782,                 1.1538,                0.94948,                 0.3884,                0.58291,                0.43356,                 1.6885,                 2.2445,                 1.4622,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.0084,                 1.8948,                 1.4157,                0.94948,                 0.3884,                0.58291,                0.43356,                 1.6885,                 2.2445,                 1.4622,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.85973,                 1.8245,                 1.3166,                0.78177,                0.38865,                0.58291,                0.43251,                 1.7477,                 2.3322,                  1.527,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.78649,                 1.2312,                 1.1042,                0.78177,                0.38865,                0.58291,                0.43251,                 1.7477,                 2.3322,                  1.527,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                  1.114,                 1.8745,                 1.4192,                0.78068,                0.38888,                0.58374,                 0.4493,                 1.7735,                 2.3735,                 1.5623,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.60924,                0.86715,                 1.0393,                0.78068,                0.38888,                0.58374,                 0.4493,                 1.7735,                 2.3735,                 1.5623,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.79292,                 1.2271,                 1.1557,                0.94762,                0.38885,                0.49902,                 0.3745,                 1.7646,                 2.3585,                 1.5598,             2.6016e-05,             2.6016e-05,             2.6016e-05
