                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                  2.815,                 1.7548,                0.61343,                0.88258,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                0.95339,                 2.9658,                 1.3686,                0.59544,                0.89268,                0.88797,                  0.617,                 1.4114,                 1.3583,                 1.2579,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1026,                 2.8885,                 1.3383,                 0.5975,                 0.8759,                0.88807,                0.61693,                 1.4342,                 1.3725,                  1.268,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.1196,                 2.8881,                 1.4399,                 0.5427,                0.83333,                0.83132,                0.59801,                 1.4428,                   1.39,                 1.2718,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 0.8782,                 2.5959,                 1.3155,                0.58576,                0.83333,                0.83096,                0.59607,                 1.4611,                 1.4351,                 1.2874,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0069,                 2.7216,                 1.3244,                0.83444,                0.56667,                0.83064,                0.57761,                 1.4871,                 1.4907,                 1.3025,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1908,                 3.3941,                 1.5269,                0.83653,                0.58028,                0.88785,                0.57574,                 1.5208,                 1.5721,                 1.3311,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                0.56643,                 2.6875,                 1.1168,                0.81136,                0.58333,                0.88569,                0.55374,                 1.5289,                 1.6275,                 1.3402,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.94727,                 2.4172,                 1.3229,                 0.7939,                0.58333,                0.77296,                0.53037,                 1.5374,                 1.6793,                 1.3499,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1744,                 2.1671,                 1.3927,                0.62311,                0.16667,                0.16583,                0.06633,                 1.5431,                 1.7196,                 1.3569,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0444,                 2.1147,                  1.434,                0.73661,                0.58333,                0.74743,                0.51944,                 1.5378,                  1.753,                 1.3572,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.3331,                 2.5635,                 1.7457,                 0.6947,                0.58333,                0.74782,                 0.5179,                 1.5359,                  1.814,                 1.3579,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 0.9519,                 1.8554,                 1.3413,                0.70379,                0.58333,                0.74769,                0.53453,                  1.537,                 1.8378,                 1.3616,             1.2584e-05,             1.2584e-05,             1.2584e-05
